perturbation	group	grit	cell_line	barcode_control	cor_method	random_iteration	num_controls	norm_method
AKT1-1	AKT1	1.4588367373354432	ES2	perturbation_control	pearson	0	56	ctrl_based
AKT1-2	AKT1	1.2035766465779323	ES2	perturbation_control	pearson	0	56	ctrl_based
ARID1B-1	ARID1B	1.3311195008452148	ES2	perturbation_control	pearson	0	56	ctrl_based
ARID1B-2	ARID1B	1.1903423000261033	ES2	perturbation_control	pearson	0	56	ctrl_based
ATF4-1	ATF4	2.2235785503136856	ES2	perturbation_control	pearson	0	56	ctrl_based
ATF4-2	ATF4	2.0682018060223233	ES2	perturbation_control	pearson	0	56	ctrl_based
ATP50-1	ATP50	2.3378463480423446	ES2	perturbation_control	pearson	0	56	ctrl_based
ATP50-2	ATP50	1.8319826567017528	ES2	perturbation_control	pearson	0	56	ctrl_based
AURKB-2	AURKB		ES2	perturbation_control	pearson	0	56	ctrl_based
BCL2-1	BCL2	0.1905032452233236	ES2	perturbation_control	pearson	0	56	ctrl_based
BCL2-2	BCL2	0.20156449891847827	ES2	perturbation_control	pearson	0	56	ctrl_based
BCL2L2-1	BCL2L2	0.9286318972709154	ES2	perturbation_control	pearson	0	56	ctrl_based
BCL2L2-2	BCL2L2	0.8818385183532658	ES2	perturbation_control	pearson	0	56	ctrl_based
BCL2L2-4	BCL2L2	0.9640281401428854	ES2	perturbation_control	pearson	0	56	ctrl_based
BRAF-2	BRAF		ES2	perturbation_control	pearson	0	56	ctrl_based
BRAF1-1	BRAF1		ES2	perturbation_control	pearson	0	56	ctrl_based
BRCA1-1	BRCA1	-0.029541212402862282	ES2	perturbation_control	pearson	0	56	ctrl_based
BRCA1-2	BRCA1	-0.04354801701605415	ES2	perturbation_control	pearson	0	56	ctrl_based
BRD4-1	BRD4	1.097410889291559	ES2	perturbation_control	pearson	0	56	ctrl_based
BRD4-2	BRD4	1.2200170611599077	ES2	perturbation_control	pearson	0	56	ctrl_based
CCND1-1	CCND1	2.504333109158834	ES2	perturbation_control	pearson	0	56	ctrl_based
CCND1-2	CCND1	2.5601916315219175	ES2	perturbation_control	pearson	0	56	ctrl_based
CCNE1-1	CCNE1	1.052454624829922	ES2	perturbation_control	pearson	0	56	ctrl_based
CCNE1-2	CCNE1	1.1886986450522836	ES2	perturbation_control	pearson	0	56	ctrl_based
CDK2-1	CDK2	2.1548035372320986	ES2	perturbation_control	pearson	0	56	ctrl_based
CDK2-2	CDK2	1.8477892068986617	ES2	perturbation_control	pearson	0	56	ctrl_based
CDK4-1	CDK4	1.8222168039783588	ES2	perturbation_control	pearson	0	56	ctrl_based
CDK4-2	CDK4	1.8577110041465645	ES2	perturbation_control	pearson	0	56	ctrl_based
CDK4-3	CDK4	1.861716067391261	ES2	perturbation_control	pearson	0	56	ctrl_based
CHEK2-1	CHEK2	0.5066987414899609	ES2	perturbation_control	pearson	0	56	ctrl_based
CHEK2-2	CHEK2	0.4779896553814868	ES2	perturbation_control	pearson	0	56	ctrl_based
COX5B-1	COX5B	-0.05208328773051643	ES2	perturbation_control	pearson	0	56	ctrl_based
COX5B-2	COX5B	-0.03297688638275617	ES2	perturbation_control	pearson	0	56	ctrl_based
CSNK1A1-1	CSNK1A1	-0.20784866448325445	ES2	perturbation_control	pearson	0	56	ctrl_based
CSNK1A1-2	CSNK1A1	-0.18740044642459702	ES2	perturbation_control	pearson	0	56	ctrl_based
CTNNB1-1	CTNNB1	1.8885702400808042	ES2	perturbation_control	pearson	0	56	ctrl_based
CTNNB1-2	CTNNB1	1.6101091718118488	ES2	perturbation_control	pearson	0	56	ctrl_based
Chr2-1	Chr2	0.3484957851978191	ES2	perturbation_control	pearson	0	56	ctrl_based
Chr2-2	Chr2	0.13222525256596693	ES2	perturbation_control	pearson	0	56	ctrl_based
Chr2-3	Chr2	0.6436704451264511	ES2	perturbation_control	pearson	0	56	ctrl_based
